epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,2461.84,1.12291,0.69128,0.86552,0.87115,0.85177,0.93105,0.55069,1.25305,0.80848,0.90271,0.0016832,0.0016832,0.0016832
66,2495.07,1.14875,0.69301,0.868,0.97455,0.90472,0.96432,0.53625,1.32351,0.69212,0.90788,0.00167825,0.00167825,0.00167825
67,2529.43,1.21759,0.75977,0.89481,0.9078,0.92126,0.96339,0.56178,1.32324,0.75706,0.91568,0.0016733,0.0016733,0.0016733
68,2563.5,1.17405,0.75363,0.88425,0.97986,0.89764,0.95736,0.55446,1.27992,0.68884,0.91256,0.00166835,0.00166835,0.00166835
69,2595.01,1.18374,0.75149,0.88164,0.9873,0.88976,0.96233,0.56322,1.33836,0.74403,0.91385,0.0016634,0.0016634,0.0016634
70,2628.33,1.19409,0.69516,0.86707,0.99912,0.88189,0.95094,0.55416,1.2572,0.71282,0.88755,0.00165845,0.00165845,0.00165845
71,2662.15,1.09181,0.66684,0.85907,0.97299,0.86614,0.95977,0.58087,1.25239,0.68516,0.89035,0.0016535,0.0016535,0.0016535
72,2697.7,1.15707,0.70087,0.89103,0.99997,0.88976,0.97381,0.59582,1.24264,0.67029,0.89482,0.00164855,0.00164855,0.00164855
73,2730.58,1.17237,0.68039,0.87632,0.98095,0.88976,0.96513,0.55431,1.24464,0.69316,0.88734,0.0016436,0.0016436,0.0016436
74,2767.64,1.20713,0.76924,0.8791,0.89349,0.88976,0.94023,0.567,1.32323,0.95933,0.90099,0.00163865,0.00163865,0.00163865
75,2803.97,1.13729,0.69579,0.87328,0.9569,0.874,0.9443,0.58864,1.24246,0.76762,0.89815,0.0016337,0.0016337,0.0016337
76,2837.39,1.16983,0.69291,0.88105,0.96687,0.91911,0.9723,0.5704,1.2751,0.657,0.90484,0.00162875,0.00162875,0.00162875
77,2872.86,1.13481,0.66202,0.86954,0.93251,0.79528,0.91051,0.5593,1.25042,0.76681,0.90014,0.0016238,0.0016238,0.0016238
78,2903.29,1.11664,0.67828,0.87577,0.96384,0.83956,0.93426,0.58209,1.23444,0.82318,0.89209,0.00161885,0.00161885,0.00161885
79,2933.35,1.1238,0.65879,0.86971,0.95487,0.87402,0.9645,0.60083,1.24571,0.75073,0.89359,0.0016139,0.0016139,0.0016139
80,2966.87,1.13018,0.66413,0.86984,0.90968,0.90551,0.92545,0.56448,1.23397,0.73615,0.89143,0.00160895,0.00160895,0.00160895
81,2997.96,1.11132,0.6646,0.87343,0.95713,0.88189,0.9601,0.56566,1.27454,0.6936,0.89342,0.001604,0.001604,0.001604
82,3029.34,1.12916,0.64583,0.86538,0.94743,0.85139,0.95554,0.60626,1.21105,0.67697,0.88157,0.00159905,0.00159905,0.00159905
83,3057.72,1.07343,0.64382,0.85907,0.95352,0.82677,0.94067,0.6074,1.22867,0.84116,0.88441,0.0015941,0.0015941,0.0015941
84,3088.19,1.09914,0.64672,0.87629,0.98216,0.88976,0.95863,0.54925,1.30313,0.69199,0.9064,0.00158915,0.00158915,0.00158915
85,3118.95,1.20303,0.70122,0.87691,0.95548,0.85827,0.94847,0.53013,1.33235,0.76067,0.89493,0.0015842,0.0015842,0.0015842
86,3157.5,1.14531,0.67731,0.86177,0.96288,0.81712,0.88243,0.53329,1.25929,0.77687,0.88974,0.00157925,0.00157925,0.00157925
87,3192.6,1.11248,0.66122,0.85474,0.9125,0.90323,0.96172,0.58476,1.21816,0.74463,0.88604,0.0015743,0.0015743,0.0015743
88,3225.97,1.07848,0.62569,0.85086,0.93578,0.91785,0.96292,0.58946,1.17608,0.69041,0.87701,0.00156935,0.00156935,0.00156935
89,3260.79,1.1081,0.64003,0.86506,0.94067,0.91339,0.96886,0.57645,1.30462,0.78722,0.90793,0.0015644,0.0015644,0.0015644
90,3295.71,1.1061,0.64291,0.85954,0.95034,0.89764,0.96305,0.59314,1.28228,0.71908,0.904,0.00155945,0.00155945,0.00155945
91,3329.56,1.10027,0.64108,0.88509,0.94436,0.93544,0.96866,0.58362,1.2446,0.6847,0.88946,0.0015545,0.0015545,0.0015545
92,3363.62,1.09971,0.63763,0.85899,0.96581,0.92913,0.96964,0.56346,1.25098,0.6838,0.89227,0.00154955,0.00154955,0.00154955
93,3397.9,1.09987,0.63016,0.85309,0.95942,0.93084,0.97343,0.57039,1.34834,0.67097,0.9091,0.0015446,0.0015446,0.0015446
94,3432.31,1.06858,0.63502,0.85543,0.96601,0.92126,0.97678,0.59906,1.26338,0.65407,0.90056,0.00153965,0.00153965,0.00153965
95,3465.15,1.08958,0.66847,0.86016,0.99097,0.86433,0.95604,0.60181,1.27635,0.73389,0.91014,0.0015347,0.0015347,0.0015347
96,3498.56,1.09137,0.68212,0.86549,0.9226,0.88976,0.95362,0.58485,1.23764,0.71102,0.89313,0.00152975,0.00152975,0.00152975
97,3533.57,1.06745,0.61275,0.84528,0.94395,0.88976,0.94127,0.57633,1.24351,0.77817,0.89994,0.0015248,0.0015248,0.0015248
98,3566.04,1.05972,0.62681,0.86652,0.98173,0.88189,0.96696,0.62022,1.16701,0.66542,0.88188,0.00151985,0.00151985,0.00151985
99,3596.1,1.04572,0.60917,0.86011,0.99118,0.88535,0.9648,0.60089,1.28407,0.73799,0.90026,0.0015149,0.0015149,0.0015149
100,3629.62,1.12212,0.65307,0.86003,0.91684,0.8681,0.9181,0.51654,1.39876,0.78296,0.91312,0.00150995,0.00150995,0.00150995
101,3670.01,1.08305,0.64137,0.85817,0.92458,0.81102,0.90175,0.49448,1.38313,0.80044,0.90931,0.001505,0.001505,0.001505
