epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,4505.97,1.20106,0.64788,0.81617,0.91877,0.79532,0.87796,0.52689,1.38112,0.8934,0.85994,0.0015512,0.0015512,0.0015512
70,4567.74,1.17359,0.6545,0.80099,0.94136,0.80469,0.87069,0.48657,1.43266,0.86068,0.86341,0.0015446,0.0015446,0.0015446
71,4628.16,1.10121,0.64038,0.81864,0.91898,0.79749,0.87793,0.52441,1.24196,0.8328,0.85489,0.001538,0.001538,0.001538
72,4690.39,1.08469,0.60715,0.81805,0.90928,0.78301,0.85764,0.50626,1.37486,0.80486,0.85939,0.0015314,0.0015314,0.0015314
73,4750.23,1.14371,0.64279,0.80249,0.96731,0.75781,0.86583,0.54472,1.25188,0.98084,0.85536,0.0015248,0.0015248,0.0015248
74,4811.55,1.17544,0.63019,0.81766,0.88721,0.79893,0.85878,0.51236,1.29565,0.75734,0.85499,0.0015182,0.0015182,0.0015182
75,4873.93,1.16902,0.66455,0.82986,0.83753,0.71094,0.79352,0.45839,1.33226,0.89725,0.8572,0.0015116,0.0015116,0.0015116
76,4934.01,1.21575,0.67315,0.82154,0.89081,0.69531,0.83423,0.43246,1.53305,0.91917,0.86188,0.001505,0.001505,0.001505
77,4994.48,1.14401,0.62223,0.81596,0.90859,0.75781,0.85025,0.5015,1.22821,0.81901,0.84368,0.0014984,0.0014984,0.0014984
78,5056.41,1.14407,0.63779,0.81209,0.93573,0.79617,0.8655,0.51707,1.26713,0.86308,0.8448,0.0014918,0.0014918,0.0014918
79,5117.54,1.17018,0.6312,0.8125,0.89088,0.76562,0.86798,0.51175,1.26594,0.7693,0.84194,0.0014852,0.0014852,0.0014852
80,5177.84,1.13583,0.61937,0.8046,0.86946,0.69531,0.80313,0.47146,1.32885,0.93497,0.8544,0.0014786,0.0014786,0.0014786
81,5237.57,1.15764,0.62303,0.8152,0.93441,0.82812,0.9069,0.55664,1.25449,0.84061,0.84785,0.001472,0.001472,0.001472
82,5298.8,1.1264,0.60285,0.81933,0.90431,0.78906,0.86946,0.5018,1.30341,0.91615,0.85629,0.0014654,0.0014654,0.0014654
83,5358.08,1.09597,0.60198,0.8036,0.82898,0.83315,0.85365,0.52188,1.26935,0.85319,0.84774,0.0014588,0.0014588,0.0014588
84,5417.25,1.09224,0.56272,0.82018,0.87114,0.68658,0.81791,0.47204,1.29854,0.86353,0.85112,0.0014522,0.0014522,0.0014522
85,5476.12,1.11582,0.55605,0.82211,0.90326,0.72949,0.81889,0.44152,1.4217,1.06906,0.86568,0.0014456,0.0014456,0.0014456
86,5536.57,1.1119,0.5631,0.81738,0.83808,0.80875,0.86382,0.54501,1.16587,0.78934,0.84284,0.001439,0.001439,0.001439
87,5596.73,1.08166,0.57993,0.79961,0.77855,0.71875,0.80076,0.47523,1.26286,0.82508,0.84687,0.0014324,0.0014324,0.0014324
88,5656.1,1.04342,0.53999,0.81075,0.81765,0.8057,0.85191,0.55688,1.15058,0.79748,0.83857,0.0014258,0.0014258,0.0014258
89,5717.64,1.05527,0.56552,0.8122,0.91602,0.69531,0.85014,0.49851,1.36894,0.89837,0.85669,0.0014192,0.0014192,0.0014192
90,5788.32,1.09415,0.57408,0.80844,0.02039,0.13281,0.0093,0.00594,1.24173,506.133,0.84594,0.0014126,0.0014126,0.0014126
91,5850.97,1.09615,0.58256,0.80489,0.96107,0.77141,0.88328,0.54814,1.28854,0.92171,0.84264,0.001406,0.001406,0.001406
92,5910.61,1.07749,0.58077,0.82565,0.90065,0.77906,0.86247,0.51067,1.23618,0.93854,0.83451,0.0013994,0.0013994,0.0013994
93,5969.96,1.0675,0.56609,0.80879,0.87049,0.78764,0.86244,0.53304,1.23494,0.77073,0.83891,0.0013928,0.0013928,0.0013928
94,6032.12,0.99391,0.52898,0.81075,0.95506,0.83011,0.90127,0.56321,1.29945,0.83032,0.85895,0.0013862,0.0013862,0.0013862
95,6091.61,1.03571,0.54509,0.79823,0.8977,0.71875,0.84188,0.50017,1.27502,0.82261,0.84723,0.0013796,0.0013796,0.0013796
96,6150.47,1.10031,0.5808,0.80505,0.89404,0.72515,0.84578,0.51698,1.20532,0.96188,0.84484,0.001373,0.001373,0.001373
